suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,262144,128,8,512,1.129747200012207,262144,1.0,1073741824,950.4266299472998,950.4266299472998,6.1499843370835485,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,128,16,512,2.2195647716522218,262144,1.0,1073741824,483.76232931500226,483.76232931500226,12.082604480591847,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,128,32,512,4.300793552398682,262144,1.0,1073741824,249.66132666403897,249.66132666403897,23.412151837150837,8,32,32,1.0,,,
compute,uniform,gpu,uniform,262144,256,1,512,0.18380799889564514,262144,1.0,1073741824,5841.649060167422,5841.649060167422,1.0,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,256,2,512,0.3413248062133789,262144,1.0,1073741824,3145.806587900767,3145.806587900767,1.856963833261479,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,256,4,512,0.614412808418274,262144,1.0,1073741824,1747.5902345919658,1747.5902345919658,3.3426880881669336,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,256,8,512,1.1409279823303222,262144,1.0,1073741824,941.1127088029729,941.1127088029729,6.207172643112615,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,256,16,512,2.2156800270080566,262144,1.0,1073741824,484.61050824650306,484.61050824650306,12.054317768107486,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,256,32,512,4.374361610412597,262144,1.0,1073741824,245.46251993527412,245.46251993527412,23.798537804092465,4,32,32,1.0,,,
compute,uniform,gpu,uniform,262144,512,1,512,0.18132480084896088,262144,1.0,1073741824,5921.648991052253,5921.648991052253,1.0,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,512,2,512,0.33751680254936217,262144,1.0,1073741824,3181.2988742774196,3181.2988742774196,1.861393482684729,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,512,4,512,0.5976639986038208,262144,1.0,1073741824,1796.5643346568067,1796.5643346568067,3.2960962637519193,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,512,8,512,1.1691712141036987,262144,1.0,1073741824,918.3786010530066,918.3786010530066,6.447938774120534,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,512,16,512,2.2036224365234376,262144,1.0,1073741824,487.262158073684,487.262158073684,12.152901457528698,2,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,512,32,512,4.302150440216065,262144,1.0,1073741824,249.58258408696514,249.58258408696514,23.72621075591116,2,32,32,1.0,,,
compute,uniform,gpu,uniform,262144,1024,1,512,0.1989760011434555,262144,1.0,1073741824,5396.338341455889,5396.338341455889,1.0,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,1024,2,512,0.36689279675483705,262144,1.0,1073741824,2926.5819157455126,2926.5819157455126,1.8439047656321064,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,1024,4,512,0.6507199883460999,262144,1.0,1073741824,1650.0827440833223,1650.0827440833223,3.270344084746939,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,1024,8,512,1.226259207725525,262144,1.0,1073741824,875.6238625857778,875.6238625857778,6.162849794339922,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,1024,16,512,2.387008047103882,262144,1.0,1073741824,449.8274839511972,449.8274839511972,11.996462052641833,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,1024,32,512,4.743974399566651,262144,1.0,1073741824,226.3380308498468,226.3380308498468,23.841942607673538,1,32,32,1.0,,,
compute,uniform,gpu,uniform,524288,32,1,512,0.3068607926368713,524288,1.0,2147483648,6998.234051168796,6998.234051168796,1.0,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,524288,32,2,512,0.6236224055290223,524288,1.0,2147483648,3443.5639723019217,3443.5639723019217,2.0322648591571486,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,524288,32,4,512,1.155897617340088,524288,1.0,2147483648,1857.8493594802246,1857.8493594802246,3.7668468734874776,16,16,32,0.5,,,
