suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,coalesced,coalesced,131072,131072,4194304,256,1,0.07035519927740097,524288,524288,0,1048576,14.904029990244323,14.904029990244323,495.0,3.0109151495443074,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,1,0.10460160225629807,524288,524288,0,1048576,10.02447359678819,10.02447359678819,495.0,2.0251461811693314,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,2,0.0817663997411728,524288,524288,0,1048576,12.824045125127334,12.824045125127334,495.0,2.590716186894411,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,4,0.07971839904785157,524288,524288,0,1048576,13.153500478234447,13.153500478234447,495.0,2.657272823885747,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,8,0.41447039842605593,524288,524288,0,1048576,2.5299177069869137,2.5299177069869137,495.0,0.5110944862599826,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,16,0.6647231936454773,524288,524288,0,1048576,1.577462634106982,1.577462634106982,495.0,0.31867932002161253,0.125,4,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,256,32,0.6516224026679993,524288,524288,0,1048576,1.6091773329258108,1.6091773329258108,495.0,0.3250863298840022,0.125,4,32,32,1.0,,,
memory,random_gather,random_gather,131072,131072,4194304,256,0,0.9010879874229432,524288,524288,524288,1572864,1.7455165554900975,1.7455165554900975,495.0,0.3526296071697167,0.08333333333333333,4,32,32,1.0,,,
memory,coalesced,coalesced,131072,131072,4194304,512,1,0.07472639977931976,524288,524288,0,1048576,14.032202850620797,14.032202850620797,495.0,2.8347884546708677,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,1,0.07798400074243546,524288,524288,0,1048576,13.446040085366013,13.446040085366013,495.0,2.7163717344173763,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,2,0.07619839906692505,524288,524288,0,1048576,13.761129011110008,13.761129011110008,495.0,2.7800260628505065,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,4,0.09392000138759612,524288,524288,0,1048576,11.164565422786332,11.164565422786332,495.0,2.255467762179057,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,8,0.40017279982566833,524288,524288,0,1048576,2.620308028073879,2.620308028073879,495.0,0.5293551571866422,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,16,0.6440384030342102,524288,524288,0,1048576,1.6281265139779273,1.6281265139779273,495.0,0.32891444726826813,0.125,2,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,512,32,0.783135998249054,524288,524288,0,1048576,1.3389449627451941,1.3389449627451941,495.0,0.270493931867716,0.125,2,32,32,1.0,,,
memory,random_gather,random_gather,131072,131072,4194304,512,0,0.7690368175506592,524288,524288,524288,1572864,2.0452388807722977,2.0452388807722977,495.0,0.4131795718731915,0.08333333333333333,2,32,32,1.0,,,
memory,coalesced,coalesced,131072,131072,4194304,1024,1,0.07465599924325943,524288,524288,0,1048576,14.045435204521416,14.045435204521416,495.0,2.837461657479074,0.125,1,32,32,1.0,,,
